Cod	Origem	Estoque
1	Arg	 44.651 
2	Chi	 3.750 
3	Bra	 1.587 
4	Bra	 46.517 
5	Chi	 12.163 
6	Arg	 136.304 
7	Bra	 85.661 
8	Por	 7.593 
9	Bra	 11.300 
10	Bra	 126.264 
11	Chi	 137.246 
12	Por	 133.308 
13	Arg	 101.597 
14	Bra	 83.776 
15	Por	 42.675 
16	Chi	 134.600 
17	Chi	 104.947 
18	Arg	 118.980 
19	Arg	 82.569 
20	Por	 111.201 
21	Bra	 58.843 
22	Chi	 52.542 
23	Bra	 12.867 
24	Arg	 16.369 
25	Arg	 55.057 
26	Bra	 111.050 
27	Arg	 102.221 
28	Arg	 25.803 
29	Chi	 45.197 
30	Chi	 67.374 
31	Arg	 13.674 
32	Arg	 2.876 
33	Chi	 6.413 
34	Por	 134.751 
35	Por	 78.350 
36	Por	 29.317 
37	Arg	 62.994 
38	Chi	 64.068 
39	Arg	 75.381 
40	Por	 79.548 
41	Arg	 131.872 
42	Chi	 24.838 
43	Bra	 136.196 
44	Bra	 62.805 
45	Bra	 39.158 
46	Arg	 5.798 
47	Por	 35.454 
48	Por	 16.059 
49	Bra	 127.529 
50	Arg	 28.882 
51	Por	 61.207 
52	Arg	 42.785 
53	Por	 21.768 
54	Chi	 125.855 
55	Arg	 137.033 
56	Arg	 101.264 
57	Bra	 64.744 
58	Arg	 86.701 
59	Bra	 127.651 
60	Bra	 57.709 
61	Arg	 47.433 
62	Arg	 58.296 
63	Por	 75.721 
64	Chi	 6.220 
65	Chi	 101.284 
66	Bra	 54.254 
67	Por	 132.696 
68	Por	 139.343 
69	Chi	 43.848 
70	Bra	 98.159 
71	Chi	 110.297 
72	Por	 115.298 
73	Arg	 116.438 
74	Arg	 19.436 
75	Bra	 87.754 
76	Por	 65.004 
77	Chi	 35.264 
78	Por	 11.783 
79	Chi	 9.402 
80	Por	 41 
81	Chi	 18.193 
82	Por	 92.987 
83	Por	 23.454 
84	Arg	 124.705 
85	Bra	 96.986 
86	Arg	 76.525 
87	Chi	 87.667 
88	Por	 64.197 
89	Arg	 111.895 
90	Chi	 118.849 
91	Arg	 115.384 
92	Por	 135.370 
93	Bra	 50.546 
94	Por	 19.625 
95	Bra	 39.771 
96	Chi	 27.730 
97	Bra	 59.461 
98	Chi	 60.716 
99	Bra	 79.803 
100	Por	 40.254 
101	Chi	 37.707 
102	Chi	 134.117 
103	Bra	 22.756 
104	Arg	 54.775 
105	Bra	 35.482 
106	Chi	 1.311 
107	Arg	 65.920 
108	Bra	 40.694 
109	Por	 113.761 
110	Bra	 55.134 
111	Chi	 113.318 
112	Por	 123.162 
113	Arg	 102.970 
114	Bra	 24.643 
115	Por	 58.239 
116	Por	 46.764 
117	Bra	 11.680 
118	Bra	 9.360 
119	Chi	 18.715 
120	Arg	 109.857 
121	Arg	 127.600 
122	Por	 127.189 
123	Chi	 3.118 
124	Chi	 128.191 
125	Por	 136.835 
