Janela,CPU_medio_pct,Tempo_resposta_ms
1,50.68,179.33
2,41.07,138.25
3,58.12,188.35
4,54.87,178.87
5,69.5,191.41
6,57.98,172.28
7,46.7,169.76
8,39.04,132.26
9,61.13,196.49
10,51.82,170.54
11,54.26,169.73
12,48.91,164.78
13,35.0,139.64
14,64.08,195.88
15,59.83,188.94
16,57.22,192.62
17,61.64,186.49
18,42.54,153.21
19,74.69,213.45
20,51.81,176.29
21,58.6,181.04
22,62.46,204.18
23,27.75,138.4
24,71.75,185.73
25,55.56,202.0
26,38.01,161.29
27,51.39,154.03
28,82.3,276.09
29,52.61,174.82
30,40.76,155.16
31,53.35,202.82
32,58.85,172.39
33,48.8,142.63
34,48.97,157.04
35,66.81,203.54
36,63.34,200.18
37,54.94,188.15
38,54.31,204.73
39,56.46,164.68
40,50.67,144.64
41,54.9,181.05
42,56.37,177.97
43,69.77,205.27
44,43.34,126.48
45,64.4,207.39
46,71.73,222.46
47,46.43,152.41
48,56.86,228.36
49,57.52,159.47
50,53.38,190.52
51,50.22,155.09
52,45.0,139.13
53,32.88,108.0
54,60.74,206.16
55,22.27,95.87
56,60.1,177.52
57,64.15,187.48
58,44.67,161.56
59,60.63,208.57
60,62.15,196.98
