,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,,management,,tertiary,no,2143.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
1,44.0,technician,single,secondary,no,29.0,yes,no,,5.0,may,151.0,1.0,-1.0,0.0,,no
2,,entrepreneur,married,secondary,no,2.0,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
3,47.0,blue-collar,married,,no,1506.0,yes,no,,5.0,may,92.0,1.0,-1.0,0.0,,no
4,,,single,,no,1.0,no,no,,5.0,may,198.0,1.0,,0.0,,no
5,35.0,management,married,tertiary,no,231.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
6,28.0,management,,tertiary,no,447.0,yes,yes,,5.0,may,217.0,1.0,-1.0,0.0,,no
7,,entrepreneur,divorced,tertiary,yes,2.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
8,,retired,married,primary,no,121.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
9,43.0,technician,single,secondary,no,593.0,yes,no,,5.0,may,55.0,1.0,-1.0,0.0,,no
10,41.0,admin.,divorced,secondary,no,270.0,yes,no,,5.0,may,222.0,1.0,,0.0,,no
11,29.0,admin.,,secondary,no,,yes,no,,5.0,may,137.0,1.0,-1.0,,,no
12,53.0,technician,married,secondary,no,6.0,yes,no,,5.0,may,,1.0,,0.0,,no
13,,technician,married,,no,71.0,yes,no,,5.0,may,71.0,1.0,-1.0,0.0,,no
14,57.0,services,married,secondary,no,162.0,yes,no,,5.0,may,174.0,1.0,-1.0,0.0,,no
15,51.0,retired,,primary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
16,45.0,admin.,,,no,,yes,no,,5.0,may,98.0,1.0,-1.0,0.0,,no
17,,blue-collar,married,primary,no,52.0,yes,no,,5.0,may,38.0,1.0,-1.0,0.0,,no
18,,retired,,primary,no,60.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
19,33.0,services,,secondary,no,0.0,yes,no,,5.0,may,54.0,1.0,-1.0,0.0,,no
20,,blue-collar,married,secondary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
21,,management,,tertiary,no,,yes,no,,5.0,may,164.0,1.0,-1.0,,,no
22,,blue-collar,,primary,no,23.0,yes,yes,,5.0,may,,1.0,,0.0,,no
23,25.0,services,married,secondary,no,50.0,yes,no,,5.0,may,342.0,1.0,-1.0,0.0,,no
24,,retired,,primary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
25,44.0,admin.,,secondary,no,-372.0,yes,no,,5.0,may,172.0,1.0,-1.0,,,no
26,,management,single,tertiary,no,,yes,no,,5.0,may,,1.0,-1.0,,,no
27,52.0,entrepreneur,married,secondary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
28,,management,,secondary,no,-246.0,yes,no,,5.0,may,255.0,2.0,,0.0,,no
29,36.0,technician,single,secondary,no,,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
30,57.0,technician,,secondary,no,839.0,no,yes,,5.0,may,225.0,1.0,-1.0,,,no
31,49.0,management,married,tertiary,no,378.0,yes,no,,5.0,may,230.0,1.0,-1.0,0.0,,no
32,60.0,admin.,,secondary,no,39.0,yes,yes,,5.0,may,208.0,1.0,-1.0,0.0,,no
33,59.0,blue-collar,married,secondary,no,0.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
34,51.0,management,married,tertiary,no,,yes,no,,5.0,may,336.0,1.0,-1.0,0.0,,no
35,57.0,technician,,secondary,no,63.0,yes,no,,5.0,may,242.0,1.0,-1.0,0.0,,no
36,25.0,blue-collar,,secondary,no,-7.0,yes,no,,5.0,may,365.0,1.0,-1.0,,,no
37,53.0,technician,,secondary,no,-3.0,no,no,,5.0,may,1666.0,1.0,-1.0,0.0,,no
38,36.0,admin.,,secondary,no,506.0,yes,no,,5.0,may,577.0,1.0,-1.0,0.0,,no
39,,admin.,,secondary,no,0.0,yes,no,,5.0,may,137.0,1.0,,0.0,,no
40,,services,divorced,secondary,no,2586.0,yes,no,,5.0,may,160.0,1.0,,,,no
41,50.0,management,married,secondary,no,,yes,no,,5.0,may,180.0,2.0,-1.0,0.0,,no
42,60.0,blue-collar,,,no,104.0,yes,no,,5.0,may,22.0,1.0,-1.0,0.0,,no
43,54.0,retired,,secondary,no,529.0,yes,no,,5.0,may,1492.0,1.0,-1.0,0.0,,no
44,58.0,retired,married,,no,96.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
45,36.0,admin.,single,primary,no,-171.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
46,58.0,self-employed,,tertiary,no,,yes,no,,5.0,may,355.0,1.0,-1.0,0.0,,no
47,44.0,technician,married,secondary,no,,yes,no,,5.0,may,225.0,2.0,-1.0,0.0,,no
48,55.0,technician,divorced,secondary,no,,no,no,,5.0,may,160.0,1.0,-1.0,0.0,,no
49,,management,single,tertiary,no,0.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
50,,blue-collar,married,secondary,no,1291.0,yes,no,,5.0,may,266.0,1.0,,,,no
51,,management,,tertiary,no,,yes,no,,5.0,may,253.0,1.0,,0.0,,no
52,32.0,management,married,tertiary,no,0.0,yes,no,,5.0,may,179.0,1.0,,0.0,,no
53,42.0,admin.,single,secondary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
54,24.0,technician,single,secondary,no,-103.0,yes,yes,,5.0,may,,1.0,-1.0,0.0,,no
55,38.0,entrepreneur,,tertiary,no,243.0,no,yes,,5.0,may,,1.0,-1.0,,,no
56,,management,,tertiary,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
57,47.0,blue-collar,,,no,,yes,no,,5.0,may,13.0,1.0,-1.0,0.0,,no
58,40.0,blue-collar,single,,no,,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
59,,services,married,primary,no,179.0,yes,no,,5.0,may,1778.0,1.0,,0.0,,no
60,32.0,admin.,,tertiary,no,0.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
61,53.0,technician,divorced,secondary,no,989.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
62,57.0,blue-collar,,primary,no,249.0,yes,no,,5.0,may,164.0,1.0,-1.0,0.0,,no
63,33.0,services,married,secondary,no,790.0,yes,no,,5.0,may,391.0,1.0,,0.0,,no
64,49.0,blue-collar,married,,no,,yes,no,,5.0,may,357.0,1.0,-1.0,,,no
65,,management,,tertiary,no,6530.0,yes,no,,5.0,may,,1.0,-1.0,0.0,,no
66,60.0,retired,married,tertiary,no,100.0,no,no,,5.0,may,,1.0,-1.0,0.0,,no
