regiao,tipo_imovel,area_m2,quartos,vagas_garagem,idade_imovel_anos,distancia_centro_km,preco_reais,faixa_preco
Sul,Casa,127.1,4.0,1,27.0,1.4,494143.0,Médio
Oeste,Casa,66.6,2.0,3,5.0,9.31,260799.0,Econômico
Leste,Apartamento,135.2,3.0,3,28.0,18.93,451451.0,Médio
Leste,Sobrado,144.4,2.0,0,16.0,0.5,518875.0,Médio
Norte,Casa,142.4,4.0,2,15.0,13.25,444672.0,Médio
Norte,Apartamento,163.2,3.0,1,22.0,4.18,548463.0,Médio
Norte,Sobrado,153.4,5.0,1,30.0,6.51,469630.0,Médio
Oeste,Sobrado,138.4,1.0,2,2.0,26.43,,
Leste,Sobrado,117.2,1.0,3,20.0,4.03,462961.0,Médio
Leste,Casa,53.6,2.0,3,25.0,6.26,177202.0,Econômico
Norte,Casa,137.2,2.0,1,35.0,0.5,410960.0,Médio
Oeste,Casa,128.3,2.0,1,36.0,0.85,438101.0,Médio
Oeste,Sobrado,130.9,4.0,2,21.0,2.99,470205.0,Médio
Norte,Sobrado,68.9,2.0,1,11.0,0.5,224100.0,Econômico
Norte,Apartamento,76.8,2.0,1,,9.98,,
Norte,Apartamento,162.1,4.0,1,10.0,5.56,556965.0,Médio
Sul,Apartamento,118.4,3.0,2,15.0,7.94,475023.0,Médio
Leste,Sobrado,147.3,4.0,1,7.0,1.92,586697.0,Médio
Sul,,121.1,1.0,0,39.0,3.51,401851.0,Médio
Sul,Apartamento,121.2,3.0,3,39.0,10.9,451996.0,Médio
Leste,Casa,157.5,1.0,0,1.0,33.61,389523.0,Médio
Norte,Apartamento,99.4,1.0,1,29.0,0.52,299568.0,Econômico
Sul,Sobrado,123.8,4.0,1,29.0,22.11,392444.0,Médio
Sul,Sobrado,101.5,2.0,0,11.0,8.6,379432.0,Médio
Sul,Sobrado,102.6,3.0,0,9.0,8.3,384735.0,Médio
Oeste,Casa,107.6,3.0,0,10.0,6.94,363379.0,Médio
Norte,Casa,128.9,2.0,2,14.0,0.72,439704.0,Médio
Leste,Apartamento,100.9,4.0,1,15.0,0.94,397566.0,Médio
Leste,Apartamento,170.2,1.0,3,16.0,9.19,576657.0,Médio
Norte,Sobrado,84.2,3.0,1,25.0,4.17,236626.0,Econômico
Leste,Sobrado,112.5,5.0,1,1.0,24.92,367404.0,Médio
Norte,,102.4,3.0,1,11.0,5.22,349599.0,Médio
Norte,,177.9,4.0,1,25.0,1.55,630502.0,Alto
Oeste,Casa,127.9,1.0,2,22.0,12.54,387181.0,Médio
Oeste,Sobrado,161.3,3.0,1,17.0,3.47,586258.0,Médio
Oeste,Sobrado,60.6,2.0,1,31.0,7.45,173766.0,Econômico
Sul,Sobrado,130.7,3.0,2,37.0,11.97,467444.0,Médio
Norte,Apartamento,155.6,5.0,3,2.0,23.05,513774.0,Médio
Leste,Casa,123.3,2.0,2,37.0,15.71,351950.0,Médio
Sul,Apartamento,162.6,3.0,1,2.0,11.28,631044.0,Alto
Norte,Sobrado,,2.0,2,29.0,11.38,,
Sul,Casa,176.4,3.0,1,0.0,29.17,544710.0,Médio
Norte,Apartamento,212.0,3.0,1,29.0,3.51,704519.0,Alto
Oeste,Casa,105.5,5.0,1,31.0,0.5,443953.0,Médio
Sul,Casa,102.2,3.0,1,27.0,3.17,395559.0,Médio
