acidez_fixa,acidez_volatil,acido_citrico,acucar_residual,cloretos,dioxido_enxofre_livre,dioxido_enxofre_total,densidade,ph,sulfatos,alcool,qualidade,lote,temp_fermentacao
11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,6,Lote_C,25.417924503711493
7.1,0.6,,,0.074,16.0,34.0,0.9972,3.47,,9.9,6,Lote_D,30.08443772093458
12.9,0.35,,,0.066,5.0,35.0,1.0014,3.2,,12.0,7,Lote_C,20.6465348758317
7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,6,Lote_A,17.28697579120861
7.7,0.665,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,0.73,9.3,5,Lote_D,13.073140671651338
10.7,0.67,,,0.107,17.0,34.0,1.0004,3.28,,9.9,6,Lote_D,25.115706023436132
8.2,0.78,0.0,2.2,0.089,13.0,26.0,0.9978,3.37,0.46,9.6,4,Lote_A,26.30103703039419
5.2,0.49,0.26,2.3,0.09,23.0,74.0,0.9953,3.71,0.62,12.2,6,Lote_A,12.308150005159483
9.1,0.36,0.39,1.8,0.06,21.0,55.0,0.99495,3.18,0.82,11.0,7,Lote_B,18.217641813158348
10.4,0.28,0.54,2.7,3.5643656336275535,5.0,19.0,0.9988,3.25,0.63,9.5,5,Lote_C,16.855355544056536
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,6,Lote_A,16.880649019949395
8.0,0.3,0.63,1.6,0.081,16.0,29.0,0.99588,3.3,0.78,10.8,6,Lote_B,26.223440231825485
7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.99328,3.35,0.54,12.4,6,Lote_B,20.093901521582247
6.0,0.31,0.47,3.6,0.067,18.0,42.0,0.99549,3.39,0.66,11.0,6,Lote_C,20.562578557940572
7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,5,Lote_B,16.344630824744694
9.5,0.57,0.27,2.3,0.082,23.0,144.0,0.99782,3.27,0.55,9.4,5,Lote_A,19.384930383215448
9.9,0.5,0.24,2.3,0.103,6.0,14.0,0.9978,3.34,0.52,10.0,4,Lote_C,15.713627901291371
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6,Lote_C,18.996435258313582
9.1,0.45,,,0.08,23.0,78.0,0.9987,3.38,,9.5,5,Lote_D,13.184801707244393
11.9,0.57,0.5,2.6,0.082,6.0,32.0,1.0006,3.12,0.78,10.7,6,Lote_A,18.383218938568955
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,6,Lote_A,15.906916601977116
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,6,Lote_C,24.423632108770686
6.9,0.51,0.23,2.0,0.072,13.0,22.0,0.99438,3.4,0.84,11.2,6,Lote_D,13.748767509398403
13.3,0.43,0.58,1.9,0.07,15.0,40.0,1.0004,3.06,0.49,9.0,5,Lote_C,24.56187306981435
7.9,0.35,0.21,1.9,0.073,46.0,102.0,0.9964,3.27,0.58,9.5,5,Lote_A,20.552452693497344
12.7,0.6,,,0.063,6.0,25.0,0.9997,3.03,,9.9,5,Lote_D,22.411359453514713
7.7,0.96,,,0.047,15.0,60.0,0.9955,3.36,,10.9,5,Lote_B,16.48151253983697
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,Lote_C,19.1873693593505
7.8,0.5,,,0.082,21.0,102.0,0.996,3.39,,9.5,5,Lote_A,19.750956840867122
